43404,All-New+All-Different+Avengers,2
43405,All-New+All-Different+Avengers,3
43406,All-New+All-Different+Avengers,4
43407,All-New+All-Different+Avengers,5
43408,All-New+All-Different+Avengers,6
43409,All-New+All-Different+Avengers,7
43410,All-New+All-Different+Avengers,8
43411,All-New+All-Different+Avengers,9
43412,All-New+All-Different+Avengers,10
43413,All-New+All-Different+Avengers,11
43414,All-New+All-Different+Avengers,12
43415,All-New+All-Different+Avengers,13
43416,All-New+All-Different+Avengers,14
43417,All-New+All-Different+Avengers,15
43418,All-New+Captain+America,1
43419,All-New+Captain+America,2
43420,All-New+Captain+America,3
43421,All-New+Captain+America,4
43422,All-New+Captain+America,5
43423,All-New+Captain+America,6
41732,All-New+Captain+America:+Fear+Him,1
41733,All-New+Captain+America:+Fear+Him,2
41734,All-New+Captain+America:+Fear+Him,3
41735,All-New+Captain+America:+Fear+Him,4
41493,All-New+Doop,1
41494,All-New+Doop,2
41495,All-New+Doop,3
41496,All-New+Doop,4
41497,All-New+Doop,5
41409,All-New+Ghost+Rider,1
41410,All-New+Ghost+Rider,2
41411,All-New+Ghost+Rider,3
41412,All-New+Ghost+Rider,4
41413,All-New+Ghost+Rider,5
41414,All-New+Ghost+Rider,6
41415,All-New+Ghost+Rider,7
41416,All-New+Ghost+Rider,8
41417,All-New+Ghost+Rider,9
41418,All-New+Ghost+Rider,10
41419,All-New+Ghost+Rider,11
41420,All-New+Ghost+Rider,12
43900,All-New+Guardians+of+the+Galaxy,1
43901,All-New+Guardians+of+the+Galaxy,2
43902,All-New+Guardians+of+the+Galaxy,3
43903,All-New+Guardians+of+the+Galaxy,4
43904,All-New+Guardians+of+the+Galaxy,5
43905,All-New+Guardians+of+the+Galaxy,6
43906,All-New+Guardians+of+the+Galaxy,7
43907,All-New+Guardians+of+the+Galaxy,8
43908,All-New+Guardians+of+the+Galaxy,9
43909,All-New+Guardians+of+the+Galaxy,10
43910,All-New+Guardians+of+the+Galaxy,11
43911,All-New+Guardians+of+the+Galaxy,12
44694,All-New+Hawkeye+vol.+1,1
44695,All-New+Hawkeye+vol.+1,2
44696,All-New+Hawkeye+vol.+1,3
44697,All-New+Hawkeye+vol.+1,4
44698,All-New+Hawkeye+vol.+1,5
43424,All-New+Hawkeye+vol.+2,1
43425,All-New+Hawkeye+vol.+2,2
43426,All-New+Hawkeye+vol.+2,3
43427,All-New+Hawkeye+vol.+2,4
43428,All-New+Hawkeye+vol.+2,5
43429,All-New+Hawkeye+vol.+2,6
43183,All-New+Inhumans,1
43184,All-New+Inhumans,2
43185,All-New+Inhumans,3
43186,All-New+Inhumans,4
43187,All-New+Inhumans,5
43188,All-New+Inhumans,6
